"","Player","Country","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"462","EJ Chatfield ","New Zealand",1979,1989,114,112,19,19,19,0,0,2
"463","SS Cottrell ","West Indies",2015,2020,35,33,19,19,19,0,0,3
"464","XJ Doherty ","Australia",2010,2015,60,60,19,19,19,0,0,2
"465","JE Emburey ","England",1980,1993,61,61,19,19,19,0,0,2
"466","JM How ","New Zealand",2005,2011,41,40,19,19,19,0,0,4
"467","NC Johnson ","Zimbabwe",1998,2000,48,48,19,19,19,0,0,2
"468","CJ Jordan ","England",2013,2020,34,34,19,19,19,0,0,2
"469","SB Joshi ","India",1996,2001,69,68,19,19,19,0,0,2
"470","RAS Lakmal ","Sri Lanka",2009,2019,85,83,19,19,19,0,0,1
"471","AR McBrine ","Ireland",2014,2020,45,44,19,19,19,0,0,3
"472","Mohammad Sami ","Pakistan",2001,2015,87,86,19,19,19,0,0,2
"473","JF Mooney ","Ireland",2006,2015,64,62,19,19,19,0,0,2
"474","DK Morrison ","New Zealand",1987,1996,96,96,19,19,19,0,0,2
"475","Naeem Islam ","Bangladesh",2008,2014,59,59,19,19,19,0,0,2
"476","Nawroz Mangal ","Afghanistan",2009,2016,49,49,19,19,19,0,0,2
"477","CJ Nevin ","New Zealand",2000,2003,37,36,19,16,2,14,3,3
"478","Rahmat Shah ","Afghanistan",2013,2019,73,70,19,19,19,0,0,2
"479","SMSM Senanayake ","Sri Lanka",2012,2015,49,48,19,19,19,0,0,3
"480","I Sharma ","India",2007,2016,80,78,19,19,19,0,0,1
"481","MC Snedden ","New Zealand",1980,1990,93,92,19,19,19,0,0,1
"482","AO Suji ","Kenya",1996,2008,60,60,19,19,19,0,0,2
"483","V Yadav ","India",1992,1994,19,19,19,12,0,12,7,3
"484","Asif Mujtaba ","Pakistan",1986,1996,66,66,18,18,18,0,0,3
"485","AR Cusack ","Ireland",2007,2015,59,55,18,18,18,0,0,2
"486","PG Fulton ","New Zealand",2004,2009,49,48,18,18,18,0,0,2
"487","IJ Gould ","England",1983,1983,18,18,18,15,0,15,3,3
"488","SO Hetmyer ","West Indies",2017,2020,45,43,18,18,15,3,0,3
"489","AC Hudson ","South Africa",1991,1997,89,88,18,18,18,0,0,2
"490","AN Kervezee ","Netherlands",2006,2012,39,39,18,18,18,0,0,3
"491","GF Lawson ","Australia",1980,1989,79,79,18,18,18,0,0,2
"492","MA Leask ","Scotland",2014,2019,34,34,18,18,18,0,0,3
"493","S Madan Lal ","India",1974,1987,67,65,18,18,18,0,0,2
"494","RS Madugalle ","Sri Lanka",1979,1988,63,63,18,18,18,0,0,2
"495","JP Maher ","Australia",1998,2003,26,26,18,18,10,8,0,3
"496","Maninder Singh ","India",1983,1993,59,58,18,18,18,0,0,2
"497","HJH Marshall ","New Zealand",2003,2007,66,65,18,18,18,0,0,3
"498","NO Miller ","West Indies",2008,2018,50,48,18,18,18,0,0,3
"499","A Nehra (Asia/INDIA)",NA,2001,2011,120,120,18,18,18,0,0,2
"500","HM Nicholls ","New Zealand",2015,2020,49,48,18,18,18,0,0,2
"501","RR Patel ","Kenya",2008,2014,39,39,18,18,18,0,0,2
"502","Raqibul Hasan ","Bangladesh",2008,2011,55,55,18,18,18,0,0,2
"503","WP Saha ","India",2010,2014,9,8,18,17,0,17,1,4
"504","SA Thomson ","New Zealand",1990,1996,56,56,18,18,18,0,0,2
"505","MA Vermeulen ","Zimbabwe",2000,2009,43,43,18,18,18,0,0,3
"506","DP Viljoen ","Zimbabwe",1997,2001,53,53,18,18,18,0,0,2
"507","SC Williams ","West Indies",1994,1999,57,57,18,18,18,0,0,3
"508","LJ Wright ","England",2007,2014,50,50,18,18,18,0,0,2
"509","Ahmed Raza ","United Arab Emirates",2014,2020,31,31,17,17,17,0,0,3
"510","JJ Bumrah ","India",2016,2020,64,64,17,17,17,0,0,2
"511","JM Davison ","Canada",2003,2011,32,32,17,17,17,0,0,2
"512","GD Elliott ","New Zealand",2008,2016,83,83,17,17,17,0,0,2
"513","TJ Friend ","Zimbabwe",2000,2004,51,51,17,17,17,0,0,2
"514","Haris Sohail ","Pakistan",2013,2019,41,40,17,17,17,0,0,2
"515","IJ Harvey ","Australia",1997,2004,73,72,17,17,17,0,0,2
"516","MJ Henry ","New Zealand",2014,2019,52,50,17,17,17,0,0,2
"517","Khaled Mahmud ","Bangladesh",1998,2006,77,77,17,17,17,0,0,2
"518","E Lewis ","West Indies",2016,2020,51,49,17,17,17,0,0,2
"519","EB McSweeney ","New Zealand",1986,1987,16,15,17,14,0,14,3,3
"520","PJ Ongondo (Afr/KENYA)",NA,1999,2011,79,79,17,17,17,0,0,2
"521","YK Pathan ","India",2008,2012,57,56,17,17,17,0,0,3
"522","RW Price ","Zimbabwe",2002,2012,102,102,17,17,17,0,0,2
"523","WB Rankin (ENG/IRE)",NA,2007,2020,75,73,17,17,17,0,0,2
"524","AT Rayudu ","India",2013,2019,55,53,17,17,17,0,0,2
"525","CJ Richards ","England",1981,1988,22,22,17,16,0,16,1,3
"526","TT Samaraweera ","Sri Lanka",1998,2011,53,51,17,17,17,0,0,2
"527","MS Sinclair ","New Zealand",2000,2009,54,54,17,17,15,2,0,2
"528","Umar Gul ","Pakistan",2003,2016,130,128,17,17,17,0,0,2
"529","GM Wood ","Australia",1978,1989,83,80,17,17,17,0,0,2
"530","Aamer Malik ","Pakistan",1988,1994,24,24,16,13,3,10,3,2
"531","CWJ Athey ","England",1980,1988,31,31,16,16,16,0,0,3
"532","JJ Atkinson ","Hong Kong",2008,2017,9,9,16,10,0,10,6,4
"533","WKM Benjamin ","West Indies",1986,1995,85,85,16,16,16,0,0,1
"534","N Chopra ","India",1998,2000,39,38,16,16,16,0,0,2
"535","KJ Coetzer ","Scotland",2008,2019,59,58,16,16,16,0,0,2
"536","PJ Cummins ","Australia",2011,2020,64,64,16,16,16,0,0,2
"537","Dawlat Zadran ","Afghanistan",2011,2019,82,80,16,16,16,0,0,2
"538","RL Dias ","Sri Lanka",1979,1987,58,58,16,16,16,0,0,2
"539","BN French ","England",1985,1988,13,13,16,13,0,13,3,3
"540","BJ Hodge ","Australia",2005,2007,25,25,16,16,16,0,0,2
"541","GP Howarth ","New Zealand",1975,1985,70,69,16,16,16,0,0,2
"542","APE Knott ","England",1971,1977,20,19,16,15,0,15,1,4
"543","T Mishra ","Kenya",2006,2013,42,42,16,16,16,0,0,2
"544","DA Murray ","West Indies",1973,1981,10,10,16,16,0,16,0,3
"545","TJ Murtagh ","Ireland",2012,2019,58,57,16,16,16,0,0,1
"546","Naved-ul-Hasan ","Pakistan",2003,2010,74,72,16,16,16,0,0,2
"547","A Ratra ","India",2002,2002,12,12,16,11,0,11,5,3
"548","GJ Rennie ","Zimbabwe",1996,2003,40,40,16,16,16,0,0,2
"549","RD Shah ","Kenya",1998,2007,56,56,16,16,16,0,0,2
"550","VS Solanki ","England",2000,2006,51,50,16,16,16,0,0,2
"551","A Vala ","Papau New Guinea",2014,2019,27,27,16,16,16,0,0,3
"552","Zaheer Abbas ","Pakistan",1974,1985,62,60,16,16,16,0,0,2
"553","Anil Dalpat ","Pakistan",1984,1986,15,14,15,13,0,13,2,3
"554","MA Atherton ","England",1990,1998,54,54,15,15,15,0,0,2
"555","Basit Ali ","Pakistan",1993,1996,50,49,15,15,15,0,0,2
"556","SE Bond ","New Zealand",2002,2010,82,80,15,15,15,0,0,2
"557","YS Chahal ","India",2016,2020,52,52,15,15,15,0,0,2
"558","SKL de Silva ","Sri Lanka",1997,1997,11,11,15,9,0,9,6,3
"559","PS de Villiers ","South Africa",1992,1997,83,82,15,15,15,0,0,2
"560","ST Finn ","England",2011,2017,69,67,15,15,15,0,0,2
"561","DT Hondo ","Zimbabwe",2001,2005,56,56,15,15,15,0,0,1
"562","VG Kambli ","India",1991,2000,104,101,15,15,15,0,0,1
"563","MD Marshall ","West Indies",1980,1992,136,134,15,15,15,0,0,2
"564","BAW Mendis ","Sri Lanka",2008,2015,87,85,15,15,15,0,0,2
"565","JA Morkel (Afr/SA)",NA,2004,2012,58,58,15,15,15,0,0,2
"566","Noor Ali Zadran ","Afghanistan",2009,2019,51,49,15,15,15,0,0,2
"567","AR Nurse ","West Indies",2016,2019,54,52,15,15,15,0,0,3
"568","AA Obanda ","Kenya",2007,2014,49,49,15,15,15,0,0,2
"569","JL Ontong (Afr/SA)",NA,2001,2012,28,27,15,15,15,0,0,2
"570","AR Patel ","India",2014,2017,38,36,15,15,15,0,0,2
"571","KL Rahul ","India",2016,2020,32,32,15,13,8,5,2,3
"572","Rizwan Cheema ","Canada",2008,2013,33,32,15,15,15,0,0,2
"573","Rohan Mustafa ","United Arab Emirates",2014,2020,37,37,15,15,15,0,0,2
"574","JD Ryder ","New Zealand",2008,2014,48,48,15,15,15,0,0,2
"575","Sohail Tanvir ","Pakistan",2007,2014,62,60,15,15,15,0,0,2
"576","CM Spearman ","New Zealand",1995,2001,51,51,15,15,15,0,0,1
"577","BC Strang ","Zimbabwe",1995,2001,49,48,15,15,15,0,0,2
"578","HA Varaiya ","Kenya",2006,2014,63,63,15,15,15,0,0,2
"579","KJ Wadsworth ","New Zealand",1973,1976,13,13,15,13,0,13,2,3
"580","CD Wallace ","Scotland",2012,2019,28,28,15,13,8,5,2,4
"581","Asad Shafiq ","Pakistan",2010,2017,60,59,14,14,14,0,0,2
"582","EAE Baptiste ","West Indies",1983,1990,43,43,14,14,14,0,0,2
"583","AC Cummins (CAN/WI)",NA,1991,2007,76,75,14,14,14,0,0,2
"584","A Dananjaya ","Sri Lanka",2012,2019,36,35,14,14,14,0,0,2
"585","C de Grandhomme ","New Zealand",2012,2020,42,42,14,14,14,0,0,2
"586","DW Fleming ","Australia",1994,2001,88,88,14,14,14,0,0,1
"587","HA Gomes ","West Indies",1978,1987,83,83,14,14,14,0,0,1
"588","PSP Handscomb ","Australia",2017,2019,22,22,14,14,9,5,0,3
"589","HMRKB Herath ","Sri Lanka",2004,2015,71,69,14,14,14,0,0,2
"590","Imran Farhat ","Pakistan",2001,2013,58,58,14,14,14,0,0,1
"591","HH Kanitkar ","India",1997,2000,34,34,14,14,14,0,0,2
"592","Mansoor Akhtar ","Pakistan",1980,1990,41,40,14,14,14,0,0,2
"593","LRD Mendis ","Sri Lanka",1975,1989,79,79,14,14,14,0,0,2
"594","AA Mulla ","Canada",2006,2009,24,24,14,9,5,4,5,2
"595","SP Narine ","West Indies",2011,2016,65,65,14,14,14,0,0,2
"596","KOA Powell ","West Indies",2009,2018,46,45,14,14,14,0,0,2
"597","R Powell ","West Indies",2016,2018,34,33,14,14,14,0,0,2
"598","R Rampaul ","West Indies",2003,2015,92,89,14,14,14,0,0,2
"599","JR Ratnayeke ","Sri Lanka",1982,1990,78,78,14,14,14,0,0,2
"600","Shafiqullah ","Afghanistan",2009,2018,24,24,14,11,3,8,3,2
"601","JC Tredwell ","England",2010,2015,45,44,14,14,14,0,0,2
"602","IJL Trott ","England",2009,2013,68,66,14,14,14,0,0,2
"603","LJ Tucker ","Ireland",2019,2020,8,8,14,13,1,12,1,3
"604","RR Watson ","Scotland",2006,2010,35,34,14,14,14,0,0,2
"605","Yasir Hameed ","Pakistan",2003,2007,56,56,14,14,14,0,0,2
"606","Aminul Islam ","Bangladesh",1988,2002,39,39,13,13,13,0,0,2
"607","HK Badani ","India",2000,2004,40,40,13,13,13,0,0,2
"608","B Bhandari ","Nepal",2019,2020,7,7,13,12,0,12,1,4
"609","SW Billings ","England",2015,2018,15,15,13,13,9,4,0,2
"610","PB Dassanayake ","Sri Lanka",1993,1994,16,16,13,9,0,9,4,2
"611","ALF de Mel ","Sri Lanka",1982,1987,57,57,13,13,13,0,0,2
